,idLV,SG_UF,CD_LOCALIDADE_TSE,NM_LOCALIDADE,NR_ZONA,NR_LOCVOT,NM_LOCVOT,DS_ENDERECO,DS_BAIRRO,NR_CEP,n_locs,street_name,street_number,locality,postal_code,sub_locality,provider,latitude,longitude,dispersion,clusters_count,providers_count,levenshtein_match_street_name
65,341341711430,BA,34134,CAMAÇARI,171,1430,"ESCOLA MUNICIPAL ALOISIO DE OLIVEIRA","FAZENDA DO SACO SN - ZONA RURAL","POVOADO MONTE GORDO",42820000,2,"Rua do Saco",,Camaçari,42820000,"Monte Gordo",here_geocoder,-12.67038,-38.12547,-1,2,1,0.18367346938776
66,341341711449,BA,34134,CAMAÇARI,171,1449,"ESCOLA MUNICIPAL AMÉLIA RODRIGUES","RUA SAO BENTO S/N - ZONA RURAL","POVOADO MONTE GORDO",42801000,11,"Rua São Bento",,Camaçari,,,google_maps,-12.7049757,-38.3316702,-1,1,1,0.22916666666667
67,341341711465,BA,34134,CAMAÇARI,171,1465,"ESCOLA ESTADUAL ENGENHEIRO RUI BACELAR","AVENIDA GETULIO VARGAS, 249 - ZONA URBANA","ALTO DO TRIÂNGULO",42800002,8,"Avenida Getúlio Vargas",249,Camaçari,42800005,Camaçari,here_geocoder,-12.7007049,-38.3246863,88.84874744353,1,2,0.35087719298246
68,341341711473,BA,34134,CAMAÇARI,171,1473,"ESCOLA MUNICIPAL EUSTÁQUIO ALVES SANTANA","RUA ALTO DA BELA VISTA S/N - ZONA RURAL","POVOADO PARAFUSO",42800000,3,"Rua Alto da Bela Vista",,Camaçari,,"Bela Vista",google_maps,-12.7113961,-38.3212848,1211.1633830556,2,3,0.40740740740741
69,341341711481,BA,34134,CAMAÇARI,171,1481,"ESCOLA NEUZA MENEZES BARRETO","AVENIDA RADIAL C S/N - ZONA URBANA","PARQUE SATÉLITE",42800000,6,"Avenida Radial C",,Camaçari,42808010,Camaçari,here_geocoder,-12.69207,-38.32661,56.591117559151,2,2,0.3265306122449
70,341341711490,BA,34134,CAMAÇARI,171,1490,"COLÉGIO ESTADUAL DE VILAS DE ABRANTES","AVENIDA TIRADENTES, S/N - ZONA RURAL","POVOADO VILA DE ABRANTES",42800000,10,"Avenida Tiradentes",,Camaçari,42840000,Abrantes,here_geocoder,-12.82922,-38.26183,-1,2,1,0.31034482758621
71,341341711503,BA,34134,CAMAÇARI,171,1503,"ESCOLA MUNICIPAL GILTÔNIA PEREIRA DE SOUZA","RUA PARATI S/N - ZONA RURAL","POVOADO AREMBEPE",42835000,7,"Rua Parati",,Camaçari,42840000,Abrantes,here_geocoder,-12.76274,-38.17957,911.70463730414,1,3,0.23809523809524
72,341341711511,BA,34134,CAMAÇARI,171,1511,"ESCOLA SANTO ANTÔNIO DO JORDÃO","RUA SANTO ANTONIO S/N - ZONA RURAL","POVOADO JORDÃO",42800000,1,"Rua Santo Antônio",,Camaçari,42840000,Abrantes,here_geocoder,-12.83674,-38.26958,-1,2,1,0.3125
73,341341711520,BA,34134,CAMAÇARI,171,1520,"ESCOLA MUNICIPAL RURAL BOA UNIÃO","CONDOMINIO COLONIA BOA UNIAO - ZONA RURAL","POVOADO CATU DE ABRANTES",42800000,1,"Rua Colônia Boa União",,Camaçari,42840000,Abrantes,here_geocoder,-12.84703,-38.28782,-1,1,1,0.234375
74,341341711538,BA,34134,CAMAÇARI,171,1538,"ESPECIAL CENTRO EDUCACIONAL MARQUÊS DE ABRANTES","ESTRADA DE BURIS S/N - ZONA RURAL","POVOADO VILA DE ABRANTES",42800000,1,"Travessa Buris",,Camaçari,42840000,Abrantes,here_geocoder,-12.8277699,-38.26095,-1,1,1,0.21428571428571
75,341341711546,BA,34134,CAMAÇARI,171,1546,"ESCOLA MUNICIPAL ALBERTO FERREIRA BRANDÃO","RUA FLOR DO CAMPO, S/N - ZONA URBANA","GLEBA H",42800000,3,"Rua Flor Lotus",110,Camaçari,42800000,"Gleba H",google_maps,-12.7073296,-38.3231594,-1,2,1,0.26829268292683
76,341341711554,BA,34134,CAMAÇARI,171,1554,"ESCOLINHA MARCO IVO BONA","CONDOMINIO BUSCA VIDA, LT 27 - ZONA RURAL","POVOADO CATU DE ABRANTES",42840000,1,"Primeira Travessa Busca Vida",51,Camaçari,42840000,Abrantes,here_geocoder,-12.85463,-38.27552,-1,1,1,0.19047619047619
77,341341711562,BA,34134,CAMAÇARI,171,1562,"ESCOLA MUNICIPAL JOANA ANGELICA","AVENIDA RADIAL B - ZONA URBANA",MANGUEIRAL,42800000,1,"Avenida Radial B",,Camaçari,,Mangueiral,google_maps,-12.6861636,-38.3321418,-1,3,1,0.41025641025641
78,341341711589,BA,34134,CAMAÇARI,171,1589,"INTERNAÇÃO - CASE - IRMÃ DULCE","RODOVIA BA 512, KM 12, FAZENDA SÃO JOÃO, SN - ZONA URBANA","SANTO ANTÔNIO",42800000,1,"Rua Parque Santo Antônio",512,Camaçari,42809051,Camaçari,here_geocoder,-12.6833137,-38.3549655,-1,2,1,0.29411764705882
79,342901271015,BA,34290,CANDEIAS,127,1015,"ESCOLA MUNICIPAL MARGARIDA SOUZA","PRACA TIRADENTES, N 12 - ZONA URBANA  ",CENTRO,43805220,5,"Rua Tiradentes 12",12,Candeias,37280000,,arcgis_online,-20.775703964775,-45.269435057969,-1,1,1,0.4
80,342901271031,BA,34290,CANDEIAS,127,1031,"IDEAL ESPORTE CLUBE","RUA ALFREDO SERRA, N 56 - ZONA URBANA  ",CENTRO,43800000,4
81,342901271040,BA,34290,CANDEIAS,127,1040,"ESCOLA MUNICIPALIZADA ADRIANO GORDILHO","RUA CAMURUGIPE, S/N - ZONA URBANA",TRIANGULO,43815380,5
82,342901271058,BA,34290,CANDEIAS,127,1058,"CASA DOS ROMEIROS","RUA PIO XI - MATRIZ NOSSA SENHORA DAS CANDEIAS - ZONA URBANA",CENTRO,43800000,6
83,342901271074,BA,34290,CANDEIAS,127,1074,"CASA DA CULTURA","RUA 13 DE MAIO, N 31 - ZONA URBANA",CENTRO,43800000,4
84,342901271090,BA,34290,CANDEIAS,127,1090,"ESCOLA ESTADUAL LUIZ VIANA FILHO","RUA DESEMBARGADOR TEIXEIRA DE FREITAS, N 10 - ZONA URBANA",PITANGA,43810271,4
85,342901271104,BA,34290,CANDEIAS,127,1104,"S E S I","PRACA DR. GUALBERTO D. FONTES, N 274 - ZONA URBANA",CENTRO,43800010,8
86,342901271112,BA,34290,CANDEIAS,127,1112,"ESCOLA MUNICIPAL ALZIRA FERREIRA","RUA ARACAJU - ZONA URBANA","SANTO ANTONIO",43800000,6
